modelo,job_id,status_job,n_referencia,n_avaliado,cobertura,taxa_erro,precisao,recall,f1,acuracia,tempo_mediano_doc_seg,tempo_total_stage_seg
gpt-oss:20b,8,concluido,202,168,0.8316831683168316,0.056179775280898875,0.7087378640776699,0.7604166666666666,0.7336683417085427,0.6845238095238095,41.335029,15797
qwen2.5:7b,7,concluido,202,180,0.8910891089108911,0.04736842105263158,0.6597938144329897,0.6213592233009708,0.6399999999999999,0.6,28.741979,9513
qwen3:8b,6,concluido,202,188,0.9306930693069307,0.015625,0.5732484076433121,0.8737864077669902,0.6923076923076924,0.574468085106383,58.924144,14125
gemma4:e4b,3,concluido,202,186,0.9207920792079208,0.0,0.7021276595744681,0.3113207547169811,0.4313725490196078,0.532258064516129,28.7252215,7763
